Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Тихий;Ольга;Євгенівна;Жінка;1995-08-07;Психолог;селище Світлодарськ;узвіз Хімічний 2-й, буд. 454 кв. 6, Вінниця, 86755;+380 (18) 495-26-09;dutkabohodar@example.net
Твердохліб;Лариса;Євгенівна;Жінка;1991-05-02;Правник;хутір Волочиськ;шосе Лінія 52-га, буд. 688 кв. 654, Бахчисарай, 94535;+380 (82) 009-94-80;hennadii58@example.net
Дробʼязко;Павло;Дмитрович;Чоловік;1967-09-01;Живописець;селище Привілля;шосе Юхима Фесенка, буд. 28, Бахчисарай, 95062;+380 35 388-49-05;gievtushok@example.com
Худобʼяк;Федір;Тимофійович;Чоловік;1975-04-08;Лікар;хутір Біляївка;шосе Павла Шклярука, буд. 0, Першотравенськ, 70240;+380 (56) 775-48-15;gzaika@example.org
Шовкопляс;Володимира;Олександрівна;Жінка;1996-12-15;Ветеринар;місто Богуслав;набережна Будівельний, буд. 815 кв. 6, Ясинувата, 99736;052 216 12 30;zubkovolodymyr@example.com
Демʼянюк;Аврелій;Федорович;Чоловік;1949-05-01;Гінеколог;місто Городня;провулок Ушинського, буд. 82, Луганськ, 84520;+380 (23) 660-21-15;mbebeshko@example.com
Джус;Ростислав;Тимофійович;Чоловік;1957-08-30;Вчитель;село Ланівці;провулок Новгородський 2-й, буд. 70 кв. 182, Тиврів, 03423;+380 83 676-17-96;ielysei60@example.org
Приймак;Ростислав;Анатолійович;Чоловік;1974-03-10;Єгер;село Угнів;площа Адміральський, буд. 0 кв. 4, Докучаєвськ, 44245;+380 66 975-73-64;ievazabara@example.net
Шовкопляс;Марія;Іванівна;Жінка;1990-10-11;Стропальник;селище Ірміно;узвіз Китобійна, буд. 391, Кременчук, 18501;014 137 87 01;hlib18@example.org
Ейбоженко;Єва;Борисівна;Жінка;1978-09-22;Бібліограф;місто Буча;шосе Верхня, буд. 7, Радивилів, 03403;+380 79 872-37-84;uiaremchuk@example.com
Колесниченко;Гордій;Михайлович;Чоловік;1968-05-26;Круп'є;місто Бунге ;вулиця Дубова, буд. 6, Севастополь, 06686;958 43 44;danylo14@example.com
Василашко;Арсен;Олександрович;Чоловік;2002-06-01;Гірничий інженер;місто Моспине;набережна Восьмого березня узвіз, буд. 369, Вільногірськ, 41804;+380 43 567 37 93;mykhailobezditko@example.net
Артюшенко;Ганна;Тимофіївна;Жінка;1977-12-01;Письменник;село Олександрія;шосе Зоряна, буд. 85 кв. 685, Христинівка, 02534;040 909 17 15;ievhen59@example.org
Редько;Ярослав;Юрійович;Чоловік;1949-08-06;Філолог;хутір Галич;узвіз Деревообробна, буд. 4, Жидачів, 86047;+380 (65) 563-34-17;andriievychspas@example.org
Василашко;Віолетта;Юріївна;Жінка;1963-09-14;Намотувальник;місто Долина ;провулок Паустовського, буд. 35 кв. 95, Кролевець, 15786;089 886-93-22;tgzhytskyi@example.org
Колесниченко;Емілія;Олександрівна;Жінка;1956-04-23;Головний меркшейдер;селище Чоп;вулиця Серединський, буд. 93, Калуш, 36517;+380 (02) 823-62-24;prymachenkopavlo@example.com
Прокопович;Одарка;Георгіївна;Жінка;1984-11-29;Історик;хутір Таврійськ;вулиця Сімферопольська, буд. 2, Хмельницький, 53962;085 820 74 49;iefremorobets@example.net
Габелко;Надія;Євгенівна;Жінка;2004-01-29;Геолог;селище Сміла;узвіз Тиха, буд. 83 кв. 52, Вознесенівка, 66273;253 31 64;viacheslav59@example.com
Бабʼюк;Оксана;Євгенівна;Жінка;2006-03-26;Нотаріус;хутір Кіцмань;сквер Кругова, буд. 31 кв. 54, Дніпрорудне, 10476;024 899-82-91;danylo30@example.org
Швайка;Єлисей;Васильович;Чоловік;2002-10-25;Правник;місто Радехів;провулок Лінія 23-тя, буд. 5 кв. 27, Верхньодніпровськ, 32500;+380 45 576 17 55;zinchukaaron@example.com
Ільченко;Златослава;Володимирівна;Жінка;1964-10-29;Медик;селище Новоукраїнка;проспект Лиманчик 2-й Лінія 11-та, буд. 874, Прип'ять , 29880;+380 (58) 159-56-95;iustynashcherban@example.net
Засенко;Ярослава;Євгенівна;Жінка;1956-02-12;Електромонтер;селище Бережани;узвіз Софії Перовської, буд. 2 кв. 974, Ходорів, 20545;+380 88 043-32-98;les04@example.org
Цимбал;Орина;Борисівна;Жінка;1949-07-26;Режисер;село Берегове;сквер Українська, буд. 4, Херсон, 57109;012 383 15 36;daryna89@example.net
Мірошниченко;Ірена;Іванівна;Жінка;2000-04-25;Географ;хутір Березівка;сквер Стражеска Миколи, буд. 627, Красногорівка, 87852;032 937-64-38;davymukamyroslav@example.com
Захарченко;Альбіна;Анатоліївна;Жінка;1978-10-18;Будник;село Білопілля;вулиця Овідіопольська, буд. 12, Тлумач, 11169;+380 83 843-17-08;vadym69@example.org
Усик;Аркадій;Федорович;Чоловік;1986-01-25;Провізор;село Калинівка ;шосе Скляна, буд. 9 кв. 5, Фастів, 56275;+380 48 156 14 16;zaichenkodan@example.com
Ляшко;Тереза;Євгенівна;Жінка;1953-02-16;Астроном;хутір Помічна;провулок Катерининська, буд. 938, Бурштин , 25349;576 03 85;iustym40@example.net
Доценко;Ярина;Борисівна;Жінка;1964-07-03;Ґрунтознавець;хутір Нововолинськ;шосе Об'їзна дорога, буд. 16, Алмазна, 16551;+380 59 454-80-15;bturkalo@example.org
Ткач;Омелян;Вікторович;Чоловік;1950-01-25;Астроном;хутір Арциз;провулок Юрія Яновського, буд. 91, Заставна, 14082;011 75 84;viktorvdovenko@example.org
Удовиченко;Орхип;Борисович;Чоловік;1949-09-21;Реабілітолог;місто Заліщики;парк Вертелецького, буд. 68 кв. 9, Подільськ, 68007;+380 (97) 525-73-17;kostiantyn47@example.net
Цюцюра;Валентина;Євгенівна;Жінка;1994-10-14;Ріелтор;хутір Скалат;сквер Юннатів 1-й, буд. 954 кв. 8, Гребінка, 98944;+380 48 224-30-42;dannaokhrymovych@example.net
Зайченко;Давид;Анатолійович;Чоловік;2005-04-20;Географ;місто Тлумач;площа Композитора Глинки, буд. 36 кв. 1, Ямпіль, 51317;+380 (83) 751-05-09;omelian89@example.org
Сич;Зорян;Ярославович;Чоловік;1963-06-20;Хімік;хутір Бобровиця;провулок Ламаний, буд. 8, Феодосія, 84906;+380 91 508-59-22;vitalii93@example.com
Яценюк;Назар;Михайлович;Чоловік;2002-12-30;Географ;хутір Заводське;площа Данила Крижанівського, буд. 2 кв. 25, Борзна, 57825;+380 (73) 191-33-89;viacheslavbabenko@example.net
Каденюк;Вʼячеслав;Ярославович;Чоловік;1959-07-16;Мистецтвознавець;село Погребище;шосе Вітчизняна, буд. 821, Новий Буг, 65983;028 953-02-89;vdovenkoolena@example.org
Швачка;Юстина;Юріївна;Жінка;1999-06-11;Різноробочий;хутір Лутугине;узвіз Кавказький, буд. 061, Дніпро , 90740;+380 16 293-99-18;davydenkosemen@example.org
Наливайко;Михайлина;Володимирівна;Жінка;1946-03-07;Графік;хутір Кіцмань;парк Гагаріна, буд. 3, Олешки, 27995;+380 (77) 025-47-54;demyd71@example.org
Закусило;Мілена;Володимирівна;Жінка;1949-09-18;Водій;селище Кам'янка-Бузька;сквер Цегляна, буд. 01 кв. 7, Городище , 44575;+380 16 435 11 00;marusiabashpolchenko@example.com
Черінько;Лукʼян;Михайлович;Чоловік;1987-05-02;Математик;село Таврійськ;вулиця Мукачівський, буд. 7 кв. 62, Любомль, 69488;+380 26 740-98-05;demydhaidabura@example.org
Зінкевич;Орися;Василівна;Жінка;1965-07-05;Круп'є;село Харків;сквер Танкістів, буд. 18, Надвірна, 24002;242-48-47;opanasholoborodko@example.org
Микитюк;Дмитро;Володимирович;Чоловік;1954-08-23;Етнограф;селище Устилуг;площа Бориса Дерев'янка, буд. 341, Звенигородка, 09986;+380 72 361 83 40;rkybkalo@example.org
Сомко;Пармен;Дмитрович;Чоловік;1942-04-27;Філолог;селище Жидачів;шосе Краснослобідський, буд. 37, Бердичів, 36127;+380 46 920-58-60;okhrim08@example.com
